"","logFC","logCPM","LR","PValue","FDR"
"YPL160W_mRNA",0.111796975634081,6.99425516330372,0.271187711819271,0.602536155786326,0.702938565102367
"YCL005W-A_mRNA",-0.119242887137773,4.96498071074099,0.269556646646215,0.603629332575396,0.704071693246261
"YLR093C_mRNA",0.095483708414907,4.84527072189993,0.2680918220414,0.604614675783564,0.70507861242194
"YEL059W_mRNA",-0.213499206388383,1.83563762751643,0.267801660423731,0.604810263651887,0.705164328391864
"YDR309C_mRNA",-0.108842897747844,4.95793222742203,0.26661582493811,0.605610993202693,0.705955418110748
"YOL148C_mRNA",0.114269027209946,4.85979191147462,0.264708209427922,0.606903846489437,0.707319737151531
"YOL009C_mRNA",0.110114380485727,3.57393916132395,0.263256280991323,0.60789182021269,0.708328253691445
"YJL123C_mRNA",-0.132908437196367,6.72357442088934,0.262868138008993,0.608156517429548,0.708493756489122
"YMR111C_mRNA",-0.10178411571018,3.85799673229708,0.262035263429513,0.608725336932042,0.709013419261842
"YGL060W_mRNA",0.126691735394471,3.92797625497527,0.261332186825886,0.609206398401539,0.709320134129927
"YBR188C_mRNA",0.221260948750958,3.16256334806263,0.261291478100269,0.609234277253908,0.709320134129927
"YGR117C_mRNA",0.0926135746898964,4.60272808259733,0.259604998125714,0.610391656277727,0.710490209367561
"YFL010W-A_mRNA",0.151875905688916,3.28423540061589,0.259468891774012,0.610485268194461,0.710490209367561
"YIR010W_mRNA",-0.150869345185696,4.56285357608709,0.258860317487465,0.610904215142751,0.710834558151597
"YGL195W_mRNA",-0.153429941657747,6.90462231273281,0.257052382811436,0.612152477790255,0.712143547173518
"YBL034C_mRNA",-0.0975137800741023,5.19021435862735,0.256011117074969,0.61287391109393,0.712839248988832
"YIL143C_mRNA",-0.0938537357126262,6.63023473486274,0.2557392216034,0.613062595235335,0.71291154850392
"YPL144W_mRNA",-0.213376352725073,2.72859311981324,0.25556592055827,0.613182924682735,0.71291154850392
"YMR163C_mRNA",-0.129430109071622,3.7981478726665,0.255017910670778,0.613563766008664,0.713210769262637
"YOL021C_mRNA",-0.109948499385258,5.14250019324918,0.253466185139885,0.614644935856557,0.714323772536715
"YMR052C-A_mRNA",-0.244432853577017,2.79646064336179,0.252850017068921,0.615075403837773,0.71468025197485
"YMR054W_mRNA",0.138505345063855,6.4347353364305,0.252407744444916,0.615384790088768,0.714895926700066
"YDR335W_mRNA",0.0894914506566903,7.16269620227949,0.252175203817286,0.615547597149271,0.71494126706901
