"","logFC","logCPM","LR","PValue","FDR"
"YOL035C_mRNA",0.547772992941859,4.64189901805918,3.28777096856574,0.06979771775356,0.118888710629479
"YLR106C_mRNA",0.334067572040992,7.77204714984398,3.28417547285123,0.0699507549224913,0.119114257202921
"YBL006C_mRNA",-0.342640118909216,5.01347540282626,3.28111612216165,0.0700812547441498,0.119301304863604
"YLR027C_mRNA",-0.316275059705902,6.82673778443873,3.27782162297214,0.0702220766408975,0.119505808685275
"YOR293W_mRNA",-0.433647498589274,6.86894798771548,3.27250271203897,0.0704500710477616,0.119858500845912
"YBR297W_mRNA",-0.38960991509761,5.15812340301404,3.26524893913156,0.0707622818269525,0.120349197436401
"YMR176W_mRNA",0.341337311314706,6.12658244314704,3.26483452517202,0.0707801633814844,0.120349197436401
"YBR091C_mRNA",-0.446010412848109,3.72675179726512,3.25772091357399,0.0710878646582845,0.120836817618084
"YMR295C_mRNA",-0.373292249321022,6.74961597149554,3.25352220282633,0.0712701534545759,0.121111034525928
"YMR007W_mRNA",0.635751620174913,3.00512969019545,3.2490593979507,0.0714644573025278,0.121405501582177
"YKR094C_mRNA",-0.371212585678733,7.00311635822528,3.23793470658591,0.0719512857095814,0.122196596959289
"YOR094W_mRNA",-0.53969284855247,3.67429497623733,3.2356085251646,0.0720535306063426,0.122334271834872
"YMR315W_mRNA",0.333351334111302,6.831956211584,3.23211034227722,0.0722075830030495,0.122541411648154
"YDR460W_mRNA",0.461092263751053,4.61841854484166,3.23187488071669,0.0722179648979077,0.122541411648154
"YDL122W_mRNA",0.484423639743887,6.32195182637137,3.23039694706829,0.0722831660334535,0.122616025553371
"YER133W_mRNA",0.399542712723448,7.53728556792135,3.22963090706583,0.0723169858081404,0.122637378164363
"YLR246W_mRNA",-0.3624915838006,4.99965480093019,3.22862088580763,0.0723616030090826,0.122677023475333
"YBR033W_mRNA",-0.327674953989486,4.97277565400098,3.22436839315426,0.0725497788697456,0.122959953859052
"YBL034C_mRNA",-0.367771286140609,5.19021435862735,3.22248446681572,0.0726333116578823,0.123065417464338
"YPL232W_mRNA",0.31415168023714,5.71833870493922,3.21496767956103,0.072967632396643,0.123595614288273
"YNL002C_mRNA",0.491863629639298,5.84924727893479,3.21386497032371,0.0730168157787997,0.123642664303239
"YPR017C_mRNA",-0.509637038733227,3.31148353945466,3.21294154954541,0.0730580298435295,0.123676195889867
"YDR038C_mRNA",0.507930641556404,4.76352556061178,3.21177549595965,0.0731101087421829,0.123728094958936
"YER156C_mRNA",-0.570069097010127,3.63217659272809,3.20623452878119,0.0733581272709949,0.124111465470787
"YEL006W_mRNA",-0.502605269768223,4.79723894502842,3.20413708625267,0.0734522460562404,0.124234311338461
"YGL181W_mRNA",0.462206833878736,4.63787285023508,3.2023641446545,0.0735319045390729,0.124332634841243
"YJR008W_mRNA",-0.376331915620407,5.18537973810255,3.20128279899221,0.0735805350456403,0.124378451982329
"YOR258W_mRNA",0.536952633041794,3.40332975450612,3.20076496457201,0.0736038354265727,0.124381437514302
"Q0110_mRNA",-0.945574884708146,5.87992114669595,3.19468698727122,0.0738779117153166,0.124808077820318
"YPL064C_mRNA",0.493211596798582,4.50379852482401,3.19353267524869,0.0739300871692871,0.124859702774796
"YAL016C-A_mRNA",-0.591729850227196,3.46837381629577,3.19187648023753,0.0740050170780972,0.124949716060535
"YJL065C_mRNA",0.544484806918431,2.94982119678612,3.19136391328483,0.0740282232522909,0.124952372152318
"YBL017C_mRNA",-0.365419473226702,7.38297507353917,3.18614333350222,0.0742650275096615,0.125282397534373
"YAL034W-A_mRNA",-0.682597541514847,2.34412434471216,3.18609711443009,0.0742671276242546,0.125282397534373
"YPL147W_mRNA",0.358880210991001,4.91060174307922,3.18513796011243,0.0743107243309929,0.125319341236734
"YFL020C_mRNA",0.785541517950764,2.48642658780043,3.17886598704813,0.0745964843205342,0.125764533985816
"YLR305C_mRNA",-0.463940549294026,6.43078796982269,3.17526038462733,0.0747612947095715,0.125979400901983
"YPL252C_mRNA",0.4757966856099,3.52783358561907,3.17472099975928,0.0747859833474574,0.125979400901983
"YHL049C_mRNA",0.946118665042287,3.81342949334325,3.17464715877681,0.0747893638664992,0.125979400901983
"YMR153C-A_mRNA",0.659982705608431,3.1093065279149,3.17326335334968,0.0748527463256545,0.126049406057429
"YKL084W_mRNA",-0.817966875197803,2.47105644371702,3.17140903220317,0.0749377702981338,0.126155803334894
"YOR040W_mRNA",-0.363501276095766,4.94766139047156,3.16970942845622,0.0750157913222001,0.126250352761372
"YDL194W_mRNA",0.344237040557513,5.32533357398999,3.16818327595654,0.0750859243547052,0.126311173673903
"YDR332W_mRNA",0.435206607843514,4.17419548041035,3.16797139739369,0.075095666619838,0.126311173673903
"YBL094C_mRNA",-0.608578987842167,3.6472027086955,3.16613381530699,0.0751802163974889,0.126416573482357
"YNL026W_mRNA",-0.361272515146564,4.57956633065268,3.15648045056295,0.0756260647120833,0.127129263613793
"YNL146W_mRNA",-1.06438298467641,1.85660950403885,3.15566008931354,0.0756640845206728,0.127156168807508
"YOR113W_mRNA",0.386561332985783,5.49353933322391,3.15224357043428,0.0758226448455459,0.127373819776648
"YFL004W_mRNA",-0.357724556044381,6.93298956431897,3.15191953337934,0.075837701906491,0.127373819776648
"YHR099W_mRNA",-0.336549347909509,7.61804473902624,3.13491203764124,0.0766325204579085,0.128671348303744
"YGL159W_mRNA",-0.55031353098739,3.71226816521403,3.12825456703233,0.0769460821903347,0.129160293731872
"YKL167C_mRNA",-0.462886654836135,4.57603698073331,3.12211561851358,0.0772364451381631,0.129610025310294
"YCL049C_mRNA",-0.446738639319449,4.7044727957427,3.12066267251663,0.0773053396390825,0.129687958685838
"YAL063C_mRNA",0.419097148883182,3.89633881124713,3.11933683769001,0.077368264590007,0.129755835154437
"YKR068C_mRNA",-0.410229524363529,4.8353037306777,3.1045440066976,0.0780740917738693,0.130901583188932
"YOR221C_mRNA",-0.377300615613626,4.5457296372782,3.09812235697151,0.078382649828108,0.131380785086231
"YOR151C_mRNA",-0.353535597894745,6.86408972371292,3.0972504164834,0.0784246473960281,0.131404886751074
"YML056C_mRNA",-0.477680409900169,4.38927232345851,3.09687930951185,0.078442529348633,0.131404886751074
"YKL175W_mRNA",-0.410557408721564,6.34106543091798,3.09233676515113,0.0786617699598612,0.131733947024691
"YLR368W_mRNA",-0.390988487559874,4.40675492278086,3.09013960052099,0.0787680502253703,0.131873698000504
"YGR281W_mRNA",-0.355799122916892,8.10283776966276,3.08570662877417,0.0789829509994375,0.132195168059331
"YGR041W_mRNA",-0.370237257451179,4.52412448031965,3.08462400743916,0.0790355299968496,0.132244849728216
"YLL022C_mRNA",-0.517558358605668,3.9948233596831,3.08317244277811,0.0791060864046439,0.132324574304438
"YNL045W_mRNA",0.368105078952907,5.04183711900428,3.08040305477837,0.0792408867084418,0.132511685474221
"YML048W_mRNA",-0.377465697040695,6.8987485454172,3.07281899806108,0.0796113099755671,0.133060931984654
"YJR051W_mRNA",-0.381278385858392,6.0271991519527,3.0727353631668,0.0796154052872169,0.133060931984654
"YLR423C_mRNA",0.46563594221487,4.38158031624298,3.06858190273366,0.0798190717299146,0.133362730203062
"YPL026C_mRNA",-0.341888222370945,7.04861097060673,3.06660671955969,0.0799161224752458,0.133486270508103
"YKR020W_mRNA",-0.7945203432906,3.10092945552893,3.06267177352198,0.0801098455477959,0.133771167355903
