"","logFC","logCPM","LR","PValue","FDR"
"YGR110W_mRNA",0.0915375959145732,4.92591582983936,0.222999445902192,0.636763933616162,0.696350631278507
"YOR359W_mRNA",-0.166629601299692,2.99587870269535,0.222959227505345,0.636794327287582,0.696350631278507
"YOR061W_mRNA",-0.105539434514689,5.3288220428782,0.222424566360471,0.637198697952935,0.696660927385227
"YML124C_mRNA",0.123380852567992,4.99322644102177,0.221908901562814,0.637589264666423,0.696956016789034
"YLR075W_mRNA",0.141110543871767,8.93179462343066,0.22099063689293,0.638286137268346,0.697585757589776
"YGR274C_mRNA",0.108442571920663,5.86466045813949,0.219928153169254,0.639094667500028,0.698337268157428
"YJL080C_mRNA",0.135457841062407,5.57917820397121,0.218567424511286,0.640133643561572,0.699131337564373
"YOL034W_mRNA",0.0997232544402826,5.42856652905665,0.218430854694165,0.640238138065589,0.699131337564373
"YDL214C_mRNA",-0.0839500771785745,5.13850916486191,0.218382422375439,0.640275204943869,0.699131337564373
"YGL175C_mRNA",0.219956232945146,2.81343983159727,0.218342796132699,0.640305535961831,0.699131337564373
"YNL123W_mRNA",0.109294281559769,6.25054224752513,0.2180815867129,0.640505556799729,0.699217557375776
"YKL201C_mRNA",0.0999205429357044,7.60771561957416,0.216230922102683,0.641926896469035,0.700588338455135
"YJR032W_mRNA",0.101545806096513,4.12031844442594,0.216131034438854,0.642003821925732,0.700588338455135
"YOR202W_mRNA",-0.110329505805181,5.15655605685645,0.215617574972006,0.642399588703326,0.700887802106236
"YDL105W_mRNA",-0.102444248231388,4.13163502159216,0.215207378086165,0.642716174064997,0.701100778356832
"YKL156C-A_mRNA",0.123855836289288,3.90415395888368,0.214755339811523,0.643065477079068,0.701349357176869
"YMR163C_mRNA",0.12093100428221,3.7981478726665,0.214236994447617,0.643466567562058,0.701654312674806
"YJL184W_mRNA",0.122562278092246,3.85334261763906,0.213245341215369,0.644235543661974,0.702324268064207
"YPL192C_mRNA",0.132235672212065,3.15154020140539,0.213131254572068,0.644324151051287,0.702324268064207
"YDL082W_mRNA",0.113836597049674,5.63438355098293,0.209574871926725,0.647100819220313,0.705217798455949
"YDL078C_mRNA",-0.086098578711215,7.16154998123132,0.208599356993135,0.647867435441223,0.705920073025562
"YDR059C_mRNA",0.10995482109827,5.80281561605224,0.207595028141067,0.648658962065617,0.706649220085063
"YEL030W_mRNA",-0.124877009607223,3.00368655991318,0.205217230695277,0.650542199941186,0.708567178363246
"YGR096W_mRNA",0.152316844544951,2.72058115484309,0.204719532538671,0.650938044277518,0.708864657569183
"YKL170W_mRNA",0.1250013994929,3.74309603319289,0.202925265840866,0.652369944792512,0.710290066186908
"YDR124W_mRNA",0.12981567979785,3.43096372643809,0.199913862529386,0.654790382683269,0.712791038518387
"YGR179C_mRNA",0.134334562274668,3.36986958018522,0.198863389921971,0.655639853276202,0.713581268611898
"YGR277C_mRNA",-0.0999987089022567,4.49548379347974,0.197238563758276,0.65695909171808,0.714882387672123
"YOL088C_mRNA",-0.0865815694763694,4.37742665845232,0.196440084782489,0.657609782655272,0.715455661069288
"YNL230C_mRNA",-0.13738014668153,3.95567453744126,0.195563299708641,0.65832611141362,0.716100116671388
"YNL232W_mRNA",0.081352435991891,4.89498027769497,0.194625177107299,0.6590946817634,0.716801145145057
"YDR373W_mRNA",-0.0818629442348564,4.98116456094754,0.194157201602992,0.659478904868762,0.717050569539602
"YJR021C_mRNA",0.138285684741564,2.92249509749834,0.194043534970743,0.659572312320621,0.717050569539602
"YCR033W_mRNA",0.114583085661764,7.01075413209908,0.193607428426947,0.659930993544553,0.717305498440598
"YHR133C_mRNA",-0.10349194449758,4.32781694098696,0.192906026481639,0.660508882986808,0.717798552799963
"YMR210W_mRNA",-0.0894718207379451,5.80149662332394,0.1892888806229,0.66350913609319,0.720923395424053
"YOR118W_mRNA",-0.0810716202703304,5.50751508556904,0.188013114857674,0.664575455022411,0.721946177959272
"YDR531W_mRNA",-0.117031167316679,4.32816014498333,0.187576934820116,0.664941011700262,0.722207462124993
"YER185W_mRNA",0.237316918381196,2.12486629099041,0.185225087126675,0.666920810771226,0.724149180761676
"YFR009W_mRNA",-0.0975971407101461,5.75660980112726,0.185155627139107,0.666979508596281,0.724149180761676
"YJL068C_mRNA",0.0878386335668365,4.74709390142259,0.184725838261584,0.667342996250247,0.724407657647327
"YGL091C_mRNA",-0.0937979287875767,4.40933074175364,0.184427949859263,0.667595225048656,0.724545287463555
"YPL059W_mRNA",-0.103355787690245,4.84036480876079,0.183716076982551,0.66819896251916,0.724930226615387
"YLR349W_mRNA",-0.196324983694656,2.71718863641085,0.183713768982477,0.668200922178033,0.724930226615387
"YCR059C_mRNA",0.177760560813791,2.66146840772161,0.183039809089305,0.668773787298638,0.72541547332149
"YMR147W_mRNA",0.127681903280841,3.07652255891268,0.182036300255212,0.669629085161002,0.725958916207378
"YDL115C_mRNA",0.0961159728525509,5.91702641739565,0.182035204525881,0.669630020580559,0.725958916207378
"YDR247W_mRNA",-0.0993274989495425,6.79196255706597,0.181849403936791,0.669788685915841,0.725958916207378
"YGR150C_mRNA",-0.116265057464539,5.37343779248989,0.181774651863892,0.669852547843434,0.725958916207378
"YOR014W_mRNA",0.0701473045018858,6.8296917708767,0.181715346690699,0.669903224270312,0.725958916207378
"YOR361C_mRNA",0.0874002330542876,5.40800246987871,0.181272929791431,0.670281579387256,0.726232677272705
"YOR059C_mRNA",-0.0878630217192085,5.85506431533834,0.180402245192505,0.671027785064408,0.726904817429111
"YJR083C_mRNA",0.119400512098067,3.91185230461652,0.179755103415821,0.671583785294412,0.727370700142607
